Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Aguas Frias;0.034615385;0.057471264;0.072796935;0.034482759;0.019157088;0.057471264;0.049808429;1;1.4;1.4;0.8;2.6;1.2;2;2;1;1.2;1.4;1;0.266666667;0.2;0.65;1.05;0;0.366666667;25;19;20;14;7;17;0;0.016666667;0.05;0.216666667;0;0;0;0;0;1.133333333;0;0;0.2;0;0;0.01;0;0.033333333;0.05;0.033333333;0.05;0;0.083333333;0.083333333;0;2
Aldea Pablo Vi;0.057692308;0.068965517;0.022988506;0.042145594;0.030651341;0.061302682;0.034482759;2;1.6;1.4;1.6;1.2;0.8;2.2;1.4;2;0.4;1;1;0.45;0.2;0.583333333;1.066666667;0.033333333;0.283333333;17;15;20;11;20;16.6;0;0;0.033333333;0.15;0;0;0;0;0;1.183333333;0;0;0;0;0;0.04;0.2;0.016666667;0.066666667;0.066666667;0.033333333;0;0.05;0.083333333;0;1
Alejandría;0.365384615;0.088122605;0.337164751;0.222222222;0.363984674;0.203065134;0.333333333;7.2;8.2;6.6;6.6;11.2;9.2;8.6;9.2;8.4;8.6;9.6;6.4;0.233333333;0.3;7.233333333;2.2;0.016666667;6.1;78;64;105;123;129;99.8;0.016666667;0.05;1.283333333;1.116666667;0.016666667;0;0;0;0;5.816666667;0;0;0.4;0;0;0.2;0.2;0.366666667;0.3;0.166666667;0.3;0.25;0.366666667;0.283333333;1;5
Alejandro Echavarría;0.442307692;0.475095785;0.436781609;0.517241379;0.440613027;0.463601533;0.478927203;12;11.8;16.4;15;16.6;16.2;12.4;13.6;16.2;13.2;12;14.4;1.633333333;1.416666667;8.133333333;10.01666667;0.05;4.083333333;162;147;190;181;169;169.8;0.05;0.15;2.5;1.366666667;0;0;0.016666667;0;0;10.01666667;0;0;0.4;0;0.5;0.51;0.4;0.416666667;0.633333333;0.166666667;0.55;0.433333333;0.4;0.4;3;3
Alfonso López;0.542307692;0.536398467;0.689655172;0.609195402;0.681992337;0.689655172;0.655172414;19.2;18;23;18;20.4;14.2;20.8;18;19;24.2;16.2;18.8;2.216666667;2.966666667;10.11666667;12.86666667;0.116666667;6.166666667;234;244;289;196;186;229.8;0.15;0;2.3;1.733333333;0;0;0;0;0;14.85;0;0;0.6;1;0.5;0.47;0.2;0.5;0.866666667;0.7;0.633333333;0.6;0.533333333;0.566666667;2;3
Altamira;0.453846154;0.279693487;0.498084291;0.432950192;0.505747126;0.348659004;0.455938697;10.8;14;12.6;13.2;15.6;13.4;13.4;14.4;14;10.4;11;12.4;0.833333333;2.4;7.766666667;8.4;0.033333333;4.5;216;162;137;142;119;155.2;0.116666667;0.116666667;1.566666667;1.5;0;0;0;0;0;9.6;0;0;0.8;0.25;0.25;0.36;0;0.516666667;0.65;0.4;0.366666667;0.55;0.533333333;0.4;3;3
Altavista;0.157692308;0.199233716;0.164750958;0.214559387;0.214559387;0.187739464;0.218390805;6.8;5.8;6.2;5.6;5;6.2;6.8;7;6.2;5;4.4;5.8;1.033333333;0.483333333;3.45;3.566666667;0.05;2.283333333;78;77;82;64;53;70.8;0.033333333;0;0.95;0.516666667;0;0;0;0;0;4.35;0;0;0;0.25;0;0.19;0.4;0.233333333;0.233333333;0.266666667;0.2;0.183333333;0.15;0.133333333;0;2
Altavista Sector Central;0.065384615;0.091954023;0.0651341;0.088122605;0.0651341;0.08045977;0.061302682;1.6;1.4;3;2.4;1.6;2.4;2;2.4;3;1.6;2.4;3.2;0.416666667;0.366666667;0.85;1.716666667;0.083333333;0.45;23;30;30;30;22;27;0.033333333;0;0.116666667;0.3;0;0;0;0;0;1.716666667;0;0;0;0;0.25;0.14;0;0.05;0.066666667;0.033333333;0.066666667;0.083333333;0.05;0.1;0;2
Altos Del Poblado;0.176923077;0.053639847;0.134099617;0.187739464;0.16091954;0.111111111;0.195402299;4.8;4.2;3;5.2;3.2;4.8;4.2;4.8;6.4;5;3.2;4.4;0.25;0.316666667;3.316666667;2.1;0;2.333333333;49;54;80;41;42;53.2;0.016666667;0.016666667;0.516666667;0.483333333;0;0.033333333;0;0;0;3.366666667;0;0;0;0.25;0;0.08;0.2;0.1;0.183333333;0.2;0.116666667;0.166666667;0.133333333;0.05;0;6
Andalucía;0.126923077;0.122605364;0.134099617;0.16091954;0.095785441;0.16091954;0.130268199;3.2;4.8;5.2;3.6;4.4;3.6;2.6;4.6;3.8;2.8;4.8;5.2;0.966666667;0.416666667;1.966666667;2.65;0.1;1.3;49;47;52;52;43;48.6;0.033333333;0;0.366666667;0.383333333;0;0;0;0;0;3.166666667;0;0;0;0.25;0.75;0.2;0;0.1;0.133333333;0.133333333;0.133333333;0.2;0.116666667;0.1;0;2
